證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2330   	台積電       	20170731	  211.50	  214.50	  211.50	  214.50	    20363	     4352541
2412   	中華電       	20170731	  103.00	  103.00	  102.00	  102.00	    12859	     1316463
Y9999  	加權指數     	20170731	10396.76	10427.33	10366.17	10427.33	  4379828	    96853698
2317   	鴻海         	20170801	  116.50	  117.50	  116.50	  116.50	    24368	     2845683
2330   	台積電       	20170801	  212.50	  214.00	  212.00	  212.00	    20314	     4325934
2412   	中華電       	20170801	  102.50	  102.50	  102.00	  102.00	    11944	     1219421
Y9999  	加權指數     	20170801	10408.53	10470.03	10408.53	10437.29	  5390357	   113018512
2317   	鴻海         	20170802	  118.50	  119.50	  117.50	  118.50	    42046	     4980239
2330   	台積電       	20170802	  214.00	  216.00	  214.00	  216.00	    30528	     6574998
2412   	中華電       	20170802	  102.50	  102.50	  101.50	  102.00	    12362	     1261175
Y9999  	加權指數     	20170802	10479.26	10519.27	10479.26	10519.27	  5537089	   124516201
2317   	鴻海         	20170803	  117.50	  119.00	  117.50	  119.00	    32872	     3890975
2330   	台積電       	20170803	  213.00	  214.00	  212.50	  213.50	    27097	     5779905
2412   	中華電       	20170803	  101.50	  102.00	  101.50	  102.00	     8007	      814733
Y9999  	加權指數     	20170803	10464.10	10478.62	10427.72	10469.88	  5014480	   110863019
2317   	鴻海         	20170804	  119.00	  119.50	  118.50	  119.50	    22973	     2733317
2330   	台積電       	20170804	  213.50	  214.00	  212.50	  213.00	    22187	     4735259
2412   	中華電       	20170804	  102.00	  102.50	  102.00	  102.50	     4501	      459916
Y9999  	加權指數     	20170804	10470.96	10510.70	10466.25	10506.56	  5216082	   114387448
2317   	鴻海         	20170807	  119.50	  122.00	  119.50	  121.50	    55573	     6709580
2330   	台積電       	20170807	  213.50	  216.50	  213.50	  216.00	    21594	     4653776
2412   	中華電       	20170807	  102.50	  102.50	  102.00	  102.00	     5801	      592769
Y9999  	加權指數     	20170807	10521.69	10592.31	10521.69	10579.38	  5672576	   128044126
2317   	鴻海         	20170808	  122.00	  122.50	  119.50	  121.00	    35846	     4341762
2330   	台積電       	20170808	  217.50	  219.00	  216.00	  217.50	    25223	     5483118
2412   	中華電       	20170808	  102.00	  102.50	  102.00	  102.50	     4441	      454015
Y9999  	加權指數     	20170808	10598.59	10619.42	10533.72	10568.97	  5985191	   134259290
2317   	鴻海         	20170809	  119.50	  120.50	  117.50	  118.00	    47421	     5632833
2330   	台積電       	20170809	  215.00	  215.50	  213.50	  214.50	    28129	     6035247
2412   	中華電       	20170809	  102.50	  102.50	  102.00	  102.00	     4539	      463975
Y9999  	加權指數     	20170809	10523.51	10536.19	10457.52	10470.38	  5456480	   112648284
2317   	鴻海         	20170810	  118.00	  118.00	  115.00	  116.00	    48173	     5605365
2330   	台積電       	20170810	  215.50	  215.50	  212.50	  214.00	    27440	     5866558
2412   	中華電       	20170810	  102.00	  102.50	  102.00	  102.00	     6532	      667129
Y9999  	加權指數     	20170810	10470.03	10477.79	10303.47	10329.74	  6392060	   137041278
2317   	鴻海         	20170811	  114.50	  117.00	  114.50	  116.50	    46202	     5342938
2330   	台積電       	20170811	  211.00	  213.50	  210.50	  212.50	    41592	     8803564
2412   	中華電       	20170811	  102.00	  102.50	  101.50	  102.00	     5302	      540428
Y9999  	加權指數     	20170811	10267.05	10338.06	10238.50	10329.57	  5864918	   123089498
2317   	鴻海         	20170814	  116.50	  116.50	  114.00	  114.00	    45566	     5243397
2330   	台積電       	20170814	  213.50	  214.00	  210.00	  211.00	    29414	     6233486
2412   	中華電       	20170814	  102.50	  102.50	  102.00	  102.00	     4407	      450509
Y9999  	加權指數     	20170814	10347.66	10365.22	10225.28	10225.28	  5432947	   108746597
2317   	鴻海         	20170815	  115.50	  116.00	  114.50	  115.50	    23934	     2759774
2330   	台積電       	20170815	  213.00	  214.50	  213.00	  214.00	    14385	     3073117
2412   	中華電       	20170815	  102.00	  102.50	  102.00	  102.50	     3395	      347653
Y9999  	加權指數     	20170815	10271.03	10336.22	10271.03	10311.16	  5054840	    95342619
2317   	鴻海         	20170816	  115.00	  116.00	  114.50	  115.00	    28874	     3318357
2330   	台積電       	20170816	  214.50	  214.50	  211.00	  213.00	    25206	     5357190
2412   	中華電       	20170816	  102.50	  102.50	  102.00	  102.50	     5796	      593318
Y9999  	加權指數     	20170816	10302.83	10322.38	10245.72	10290.39	  5191539	   100488470
2317   	鴻海         	20170817	  115.00	  116.00	  115.00	  116.00	    18416	     2128564
2330   	台積電       	20170817	  213.50	  214.00	  213.00	  214.00	     8353	     1785167
2412   	中華電       	20170817	  102.50	  102.50	  102.00	  102.50	     2775	      284283
Y9999  	加權指數     	20170817	10302.54	10372.41	10302.54	10369.37	  5616791	    98969617
2317   	鴻海         	20170818	  114.50	  116.00	  114.00	  115.50	    28090	     3226726
2330   	台積電       	20170818	  212.00	  213.00	  211.00	  212.50	    14363	     3043468
2412   	中華電       	20170818	  103.00	  103.00	  102.50	  102.50	     4935	      507310
Y9999  	加權指數     	20170818	10324.83	10330.39	10259.83	10321.33	  5044204	    90157457
